UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
803,1,7,2004,fatal,WA,"margaret river, gracetown",white shark,Carcharodon carcharias ,-33.8500,114.9833,No,coastal,,,-33.8500,114.9833,
804,1,8,2004,injured,NSW,"byron bay, tallows beach",grey nurse shark,Carcharius taurus,-28.6333,153.6167,No,Coastal,,,-28.6333,153.6167,
805,1,8,2004,uninjured,VIC,"flinders, gunnery surf break",white shark,Carcharodon carcharias ,-38.4667,145.0167,No,coastal,,,-38.4667,145.0167,
806,1,9,2004,uninjured,QLD,batt reef,tiger shark,Galeocerdo cuvier ,-16.4000,145.7667,No,Ocean/pelagic,,,-16.4000,145.7667,
807,21,10,2004,injured,NSW,"stockton beach, newcastle",white shark,Carcharodon carcharias ,-32.8500,151.8333,No,coastal,,,-32.8500,151.8333,
808,1,11,2004,injured,NSW,"saltwater beach, nr taree",wobbegong,Orectolobidae,-32.0167,152.5333,No,coastal,,,-32.0167,152.5333,
809,1,12,2004,fatal,QLD,opal reef off cairns,tiger shark,Galeocerdo cuvier ,-16.2167,145.8833,No,island open ocean,,,-16.2167,145.8833,
810,1,12,2004,fatal,SA,"west beach, adelaide",white shark,Carcharodon carcharias ,-34.9000,137.0000,No,coastal,,,-34.9000,137.0000,
811,1,1,2005,uninjured,VIC,"port phillip bay, rickett's point",white shark,Carcharodon carcharias ,-37.9833,145.0167,No,coastal,,,-37.9833,145.0167,
812,1,2,2005,injured,QLD,"brisbane river, karalee",bull shark,Carcharhinus leucas,-27.5500,152.8167,No,river,,,-27.5500,152.8167,
813,27,3,2005,uninjured,NSW,"crackneck point, bateau bay",white shark,Carcharodon carcharias ,-33.3833,151.4833,No,coastal,,,-33.3833,151.4833,
814,1,3,2005,fatal,WA,"houtman abrolhos, off geraldton",white shark,Carcharodon carcharias ,-28.7167,113.7833,No,island open ocean,,,-28.7167,113.7833,
815,1,4,2005,injured,NT,"nhulunbuy, bremmer island",whaler shark,Carcharhinidae,-12.1167,136.8000,No,island open ocean,,,-12.1167,136.8000,
816,16,4,2005,uninjured,NSW,"bronte beach, sydney",white shark,Carcharodon carcharias ,-33.9000,151.2667,No,coastal,,,-33.9000,151.2667,
817,1,5,2005,injured,QLD,townsville (50km off shore),blacktip reef shark,Carcharhinus melanopterus,-19.3500,147.3667,No,coastal,,,-19.3500,147.3667,
818,1,8,2005,fatal,SA,"glenelg, adelaide",white shark,Carcharodon carcharias ,-34.9667,138.5000,No,coastal,,,-34.9667,138.5000,
819,1,9,2005,uninjured,NSW,"south west rocks, little bay",tiger shark,Galeocerdo cuvier ,-30.8833,153.0833,No,coastal,,,-30.8833,153.0833,
820,1,9,2005,injured,NSW,"coff's harbour, park beach",wobbegong,Orectolobidae,-30.3000,153.1333,No,coastal,,,-30.3000,153.1333,
821,1,9,2005,uninjured,WA,"scarborough beach, perth",white shark,Carcharodon carcharias ,-31.8833,115.7500,No,coastal,,,-31.8833,115.7500,
822,1,9,2005,injured,SA,"cape de couedic, kangaroo is",white shark,Carcharodon carcharias ,-35.0833,137.5333,No,coastal,,,-35.0833,137.5333,
823,1,9,2005,injured,SA,fishery bay nr port lincoln,white shark,Carcharodon carcharias ,-34.8333,135.6833,No,coastal,,,-34.8333,135.6833,
824,1,11,2005,injured,VIC,"flinders, western port bay",white shark,Carcharodon carcharias ,-38.4667,145.0167,No,coastal,,,-38.4667,145.0167,
825,1,11,2005,uninjured,QLD,"moreton island, henderson's shoal ",bronze whaler shark,Carcharhinus brachyurus,-27.1833,153.4000,No,ocean/pelagic,,,-27.1833,153.4000,
826,1,12,2005,injured,QLD,port douglas,whitetip reef shark,Triaenodon obesus  ,-16.4833,145.4500,No,coastal,,,-16.4833,145.4500,
827,1,1,2006,fatal,QLD,"stradbroke island, north",bull shark,Carcharhinus leucas,-27.4000,153.4333,No,coastal,,,-27.4000,153.4333,
828,1,1,2006,injured,WA,"city beach, perth",white shark,Carcharodon carcharias ,-31.9333,115.7500,No,coastal,,,-31.9333,115.7500,
829,1,2,2006,injured,QLD,"caloundra, golden beach",wobbegong,Orectolobidae,-26.8000,153.1333,No,coastal,,,-26.8000,153.1333,
830,1,3,2006,uninjured,NSW,"bondi beach (south end), sydney",whaler shark,Carcharhinidae,-33.8833,151.2667,No,coastal,,,-33.8833,151.2667,
831,1,4,2006,injured,NSW,"cowrie hole, newcastle",wobbegong,Orectolobidae,-32.9167,151.7833,No,coastal,,,-32.9167,151.7833,
832,1,5,2006,injured,QLD,"caloundra, moffat beach",wobbegong,Orectolobidae,-26.6833,153.1333,No,coastal,,,-26.6833,153.1333,
833,1,8,2006,uninjured,NSW,"coogee, lurline bay, sydney",white shark,Carcharodon carcharias ,-33.9000,151.2667,No,Coastal,,,-33.9000,151.2667,
834,1,12,2006,injured,WA,"orleans bay, nr esperance",white shark,Carcharodon carcharias ,-33.9167,122.5833,No,island open ocean,,,-33.9167,122.5833,
835,1,12,2006,uninjured,WA,"enderby island, dampier",grey reef shark,Carcharhinus amblyrhynchos,-20.3667,116.8667,No,coastal,,,-20.3667,116.8667,
836,1,12,2006,injured,VIC,"bells beach, winkipop reef",white shark,Carcharodon carcharias ,-38.3667,144.2667,Yes,coastal,-38.3685,144.2847,-38.3685,144.2847,
837,9,1,2007,uninjured,NSW,"sandbar beach, smiths lakes",white shark,Carcharodon carcharias ,-32.3833,152.5167,No,coastal,,,-32.3833,152.5167,
838,23,1,2007,injured,NSW,cape howe ,white shark,Carcharodon carcharias ,-37.5000,149.9667,No,Coastal,,,-37.5000,149.9667,
839,1,2,2007,injured,NSW,"ballina, angels beach ",white shark,Carcharodon carcharias ,-28.8333,153.6000,No,coastal,,,-28.8333,153.6000,
840,20,3,2007,injured,NSW,"brunswick head, south golden beach",white shark,Carcharodon carcharias ,-28.5333,153.5500,No,estuary/harbour,,,-28.5333,153.5500,
841,1,3,2007,injured,QLD,moore park beach,bull shark,Carcharhinus leucas,-24.7167,152.2667,No,coastal,,,-24.7167,152.2667,
842,1,4,2007,injured,QLD,mornington island,,,-16.5500,139.4000,No,island open ocean,,,-16.5500,139.4000,
843,1,5,2007,injured,WA,"warra beach, nr coral bay",whitetip reef shark,Triaenodon obesus  ,-23.1333,113.7667,No,coastal,,,-23.1333,113.7667,
844,1,6,2007,injured,NSW,"crescent heads, shelly beach",bull shark,Carcharhinus leucas,-31.1833,152.9667,No,coastal,,,-31.1833,152.9667,
845,1,7,2007,injured,NSW,"manly, shelly beach,  sydney",wobbegong,Orectolobidae,-33.7833,151.2833,No,coastal,,,-33.7833,151.2833,
846,1,7,2007,uninjured,WA,"exmouth, dunnes surf beach",white shark,Carcharodon carcharias ,-21.9500,114.1167,No,coastal,,,-21.9500,114.1167,
847,1,7,2007,injured,WA,cocos (keeling) islands,wobbegong,Orectolobidae,-12.1500,96.8167,No,coastal,,,-12.1500,96.8167,
848,1,10,2007,injured,QLD,"cairns, holmes reef north of cairns",whaler shark,Carcharhinidae,-16.9167,145.7667,No,ocean/pelagic,,,-16.9167,145.7667,
849,15,10,2007,injured,NSW,"byron bay, the pass",white shark,Carcharodon carcharias ,-28.6333,153.6167,No,coastal,,,-28.6333,153.6167,
850,8,11,2007,uninjured,NSW,"byron bay, wategos beach",white shark,Carcharodon carcharias ,-28.6333,153.6000,No,coastal,,,-28.6333,153.6000,
851,1,12,2007,injured,NSW,"maroubra beach, sydney",wobbegong,Orectolobidae,-33.9495,151.2437,No,coastal,,,-33.9495,151.2437,
852,1,12,2007,injured,QLD,"broadwater, gold coast",whaler shark,Carcharhinidae,-27.9333,153.4167,No,coastal,,,-27.9333,153.4167,
